LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,CROPYIELD,RICE,TONNE_HA,A,1990,5.374114287,
AUS,CROPYIELD,RICE,TONNE_HA,A,1991,5.374114287,
AUS,CROPYIELD,RICE,TONNE_HA,A,1992,5.89775281,
AUS,CROPYIELD,RICE,TONNE_HA,A,1993,5.903149607,
AUS,CROPYIELD,RICE,TONNE_HA,A,1994,5.221311477,
AUS,CROPYIELD,RICE,TONNE_HA,A,1995,5.457575758,
AUS,CROPYIELD,RICE,TONNE_HA,A,1996,5.925,
AUS,CROPYIELD,RICE,TONNE_HA,A,1997,4.257046981,
AUS,CROPYIELD,RICE,TONNE_HA,A,1998,5.545180723,
AUS,CROPYIELD,RICE,TONNE_HA,A,1999,6.270739437,
AUS,CROPYIELD,RICE,TONNE_HA,A,2000,5.924013158,
AUS,CROPYIELD,RICE,TONNE_HA,A,2001,5.506511281,
AUS,CROPYIELD,RICE,TONNE_HA,A,2002,6.191418081,
AUS,CROPYIELD,RICE,TONNE_HA,A,2003,5.521277778,
AUS,CROPYIELD,RICE,TONNE_HA,A,2004,6.380196507,
AUS,CROPYIELD,RICE,TONNE_HA,A,2005,5.55599398,
AUS,CROPYIELD,RICE,TONNE_HA,A,2006,4.414966736,
AUS,CROPYIELD,RICE,TONNE_HA,A,2007,6.556217525,
AUS,CROPYIELD,RICE,TONNE_HA,A,2008,5.43605,
AUS,CROPYIELD,RICE,TONNE_HA,A,2009,5.558333916,
AUS,CROPYIELD,RICE,TONNE_HA,A,2010,5.643452877,
AUS,CROPYIELD,RICE,TONNE_HA,A,2011,6.940943655,
AUS,CROPYIELD,RICE,TONNE_HA,A,2012,6.345276316,
AUS,CROPYIELD,RICE,TONNE_HA,A,2013,5.943480853,
AUS,CROPYIELD,RICE,TONNE_HA,A,2014,6.852982305,
AUS,CROPYIELD,RICE,TONNE_HA,A,2015,7.28364001,
AUS,CROPYIELD,RICE,TONNE_HA,A,2016,6.610538253,
AUS,CROPYIELD,RICE,TONNE_HA,A,2017,7.267326118,
AUS,CROPYIELD,RICE,TONNE_HA,A,2018,6.791593507,
AUS,CROPYIELD,RICE,TONNE_HA,A,2019,6.859589582,
AUS,CROPYIELD,RICE,TONNE_HA,A,2020,6.927432107,
AUS,CROPYIELD,RICE,TONNE_HA,A,2021,6.996401209,
AUS,CROPYIELD,RICE,TONNE_HA,A,2022,7.065323606,
AUS,CROPYIELD,RICE,TONNE_HA,A,2023,7.134982627,
AUS,CROPYIELD,RICE,TONNE_HA,A,2024,7.204025918,
AUS,CROPYIELD,RICE,TONNE_HA,A,2025,7.272691388,
AUS,CROPYIELD,RICE,TONNE_HA,A,2026,7.341463876,
AUS,CROPYIELD,RICE,TONNE_HA,A,2027,7.409954702,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1990,1.634404053,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1991,1.469796322,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1992,1.781197883,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1993,1.965752934,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1994,1.13567871,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1995,1.789874955,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1996,2.096300157,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1997,1.841522518,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1998,1.859631796,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,1999,2.03471543,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2000,1.820885565,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2001,2.107631059,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2002,0.907039202,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2003,1.999823985,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2004,1.634782154,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2005,2.021297628,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2006,0.917247985,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2007,1.078794432,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2008,1.583139939,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2009,1.572942151,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2010,2.030107097,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2011,2.151108319,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2012,1.760921489,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2013,2.006071795,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2014,1.917246925,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2015,1.974305509,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2016,2.727729279,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.736503317,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.912011538,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.981697175,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.010998451,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.037699266,
AUS,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.048211878,
